Id,Label,timeset,degree,clustering,triangles,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,weighted degree
M. Laguna,M. Laguna,,4,1,6,0,7,0.257254,0.270954,0,0.01018,22,4
L. Jelen,L. Jelen,,3,1,3,0,6,0.342763,0.367996,0,0.061431,1,3
D. Sanchez-Tarrago,D. Sanchez-Tarrago,,4,1,6,0,6,0.343735,0.36983,0,0.063765,14,8
B. Bedregal,B. Bedregal,,17,0.588235,80,0,6,0.349016,0.38221,0.000209,0.153667,24,19
Y.C. Dong,Y.C. Dong,,10,1,45,0,6,0.345697,0.375332,0,0.108178,24,10
V. Torra,V. Torra,,10,1,45,0,6,0.345697,0.375332,0,0.108178,24,14
Y.J. Xu,Y.J. Xu,,10,1,45,0,6,0.345697,0.375332,0,0.108178,24,10
M. Pagola,M. Pagola,,17,0.647059,88,0,6,0.353944,0.388858,0.000493,0.191396,1,31
J. Fernandez,J. Fernandez,,9,1,36,0,6,0.345861,0.374186,0,0.106501,1,12
B. De-Baets,B. De-Baets,,9,1,36,0,6,0.345861,0.374186,0,0.106501,1,9
V. Gal,V. Gal,,3,1,3,0,5,0.275275,0.292481,0,0.014409,13,3
N. Bova,N. Bova,,3,1,3,0,5,0.275275,0.292481,0,0.014409,13,3
C. Vens,C. Vens,,1,0,0,0,7,0.265328,0.283746,0,0.014414,1,1
L. de la Torre,L. de la Torre,,5,1,10,0,7,0.315812,0.357474,0,0.06765,2,5
D. Galan,D. Galan,,5,1,10,0,7,0.315812,0.357474,0,0.06765,2,5
S. Dormido,S. Dormido,,5,1,10,0,7,0.315812,0.357474,0,0.06765,2,5
C. De Maio,C. De Maio,,4,1,6,0,7,0.315675,0.356786,0,0.05657,2,4
J. V.  Riera,J. V.  Riera,,3,1,3,0,7,0.315538,0.356098,0,0.051012,2,3
S. Massanet,S. Massanet,,4,0.833333,5,0,7,0.315675,0.356786,0.000001,0.053498,2,9
J. Torrens,J. Torrens,,4,0.833333,5,0,7,0.315675,0.356786,0.000001,0.053498,2,9
P. Mesejo,P. Mesejo,,10,0.511111,23,0,5,0.276111,0.297524,0.005397,0.029355,13,12
S. Cagnoni,S. Cagnoni,,6,0.866667,13,0,5,0.275692,0.294773,0.000245,0.025113,13,7
H. Ordoñez,H. Ordoñez,,5,1,10,0,7,0.315812,0.357474,0,0.057904,34,5
C. Figueroa,C. Figueroa,,5,1,10,0,7,0.315812,0.357474,0,0.057904,34,5
J. C. Corrales,J. C. Corrales,,5,1,10,0,7,0.315812,0.357474,0,0.057904,34,5
C. Cobos,C. Cobos,,9,0.555556,20,0,7,0.316362,0.360225,0.00003,0.069145,34,10
L. K. Wives,L. K. Wives,,5,1,10,0,7,0.315812,0.357474,0,0.057904,34,5
A. M. Garcia-Vico,A. M. Garcia-Vico,,3,1,3,0,7,0.263597,0.280995,0,0.017633,1,3
M. D. Perez-Godoy,M. D. Perez-Godoy,,3,1,3,0,7,0.263597,0.280995,0,0.017633,1,3
B. Lacroix,B. Lacroix,,2,1,1,0,6,0.343248,0.368226,0,0.049673,22,4
S. Gutierrez,S. Gutierrez,,1,0,0,0,7,0.273823,0.294658,0,0.018831,1,1
P.A. Gutierrez,P.A. Gutierrez,,1,0,0,0,7,0.273823,0.294658,0,0.018831,1,1
A.M. AlBar,A.M. AlBar,,4,1,6,0,7,0.274133,0.296722,0,0.025878,26,4
M. Espinilla,M. Espinilla,,6,0.533333,8,0,5,0.350361,0.37547,0.001214,0.078219,24,6
J. Santamaria,J. Santamaria,,9,0.388889,14,0,5,0.28622,0.311967,0.00322,0.0423,13,12
A. Rivera,A. Rivera,,6,0.6,9,0,5,0.349183,0.373865,0.000692,0.077549,1,6
D. Barrera Rosillo,D. Barrera Rosillo,,4,1,6,0,7,0.272591,0.290394,0,0.010974,7,7
F.J. Ariza Lopez,F.J. Ariza Lopez,,4,1,6,0,7,0.272591,0.290394,0,0.010974,7,7
A. Gomez Blanco,A. Gomez Blanco,,4,1,6,0,7,0.272591,0.290394,0,0.010974,7,4
S. del Barrio-Garcia,S. del Barrio-Garcia,,2,1,1,0,5,0.271776,0.286589,0,0.008778,13,2
C. Zarco,C. Zarco,,2,1,1,0,5,0.271776,0.286589,0,0.008778,13,2
V. Iglesias,V. Iglesias,,4,1,6,0,5,0.276426,0.295461,0,0.01947,13,4
J. Mingot,J. Mingot,,4,1,6,0,5,0.276426,0.295461,0,0.01947,13,4
J. Bacardit,J. Bacardit,,9,0.666667,24,0,6,0.350361,0.381293,0.000101,0.12176,1,13
A. Labella,A. Labella,,2,1,1,0,7,0.286108,0.303783,0,0.01675,24,2
F. Yan,F. Yan,,2,1,1,0,7,0.260014,0.27508,0,0.008295,24,2
C. Wei,C. Wei,,3,0.666667,2,0,7,0.260107,0.275768,0.000002,0.009084,24,4
L. Chen,L. Chen,,4,1,6,0,6,0.344387,0.370747,0,0.05848,1,4
X. Yejun,X. Yejun,,4,1,6,0,6,0.344387,0.370747,0,0.05848,1,4
C. Santiesteban,C. Santiesteban,,3,1,3,0,8,0.155575,0.167615,0,0.003161,16,6
H. Velarde,H. Velarde,,3,1,3,0,8,0.155575,0.167615,0,0.003161,16,6
A. Garcia,A. Garcia,,3,1,3,0,8,0.155575,0.167615,0,0.003161,16,6
O. Mei-Dan,O. Mei-Dan,,6,1,15,0,8,0.220036,0.239582,0,0.014161,7,6
E. Monasterio,E. Monasterio,,6,1,15,0,8,0.220036,0.239582,0,0.014161,7,6
A.C. Hackney,A.C. Hackney,,6,1,15,0,8,0.220036,0.239582,0,0.014161,7,6
A.R. Lane,A.R. Lane,,6,1,15,0,8,0.220036,0.239582,0,0.014161,7,6
S. Rozsa,S. Rozsa,,9,0.666667,24,0,8,0.220236,0.241645,0.000015,0.017562,7,11
M. Sievert,M. Sievert,,5,1,10,0,8,0.21997,0.238894,0,0.012608,7,5
K.M. Cloninger,K.M. Cloninger,,5,1,10,0,8,0.21997,0.238894,0,0.012608,7,5
N. Lester,N. Lester,,5,1,10,0,8,0.21997,0.238894,0,0.012608,7,5
M. Herrera,M. Herrera,,8,0.535714,15,0,7,0.317329,0.361371,0.000058,0.080797,2,14
V. Lopez,V. Lopez,,10,0.777778,35,0,6,0.351038,0.382554,0.000038,0.137031,1,29
L. Marrakchi-Kacem,L. Marrakchi-Kacem,,5,0.8,8,0,6,0.227686,0.247799,0.000008,0.014883,13,7
F. Navarro,F. Navarro,,16,0.683333,82,0,5,0.278331,0.303485,0.014348,0.054846,13,23
I. Aleman,I. Aleman,,6,1,15,0,5,0.275692,0.294773,0,0.026902,13,11
A. Bawakid,A. Bawakid,,9,0.638889,23,0,6,0.34504,0.373842,0.000027,0.10718,1,14
D. Bernardo,D. Bernardo,,4,1,6,0,6,0.342925,0.368684,0,0.067292,1,4
S.-O. Shim,S.-O. Shim,,4,1,6,0,6,0.343248,0.369028,0,0.070119,1,4
E.M. Murgado-Armenteros,E.M. Murgado-Armenteros,,3,1,3,0,8,0.248547,0.275644,0,0.018071,2,3
